,quantity,dates,stock_id,symbol_id
267,32877,2023-08-17,22,346
268,81936,2023-08-17,22,232
269,70337,2023-08-17,22,211
270,51200,2023-08-17,22,225
271,39314,2023-08-17,22,219
272,122517,2023-08-17,22,212
273,15033,2023-08-17,8,339
274,75660,2023-08-17,8,218
275,84140,2023-08-17,8,224
276,13500,2023-08-17,8,220
277,15000,2023-08-17,8,333
278,83003,2023-08-17,8,229
279,64256,2023-08-17,8,216
280,35500,2023-08-17,8,294
281,133300,2023-08-17,8,228
282,40000,2023-08-17,8,226
283,29000,2023-08-17,8,223
284,6253,2023-08-17,8,213
285,111355,2023-08-17,8,336
286,13796,2023-08-17,8,233
287,99405,2023-08-17,8,221
288,5292,2023-08-17,8,338
289,59579,2023-08-17,8,337
290,76951,2023-08-17,8,217
291,21565,2023-08-17,8,347
292,3000,2023-08-17,8,346
293,34925,2023-08-17,8,211
294,6300,2023-08-17,8,225
295,21,2023-08-17,8,230
296,13000,2023-08-17,8,219
297,29150,2023-08-17,8,212
298,8758,2023-08-17,129,339
299,5515,2023-08-17,129,340
300,30693,2023-08-17,129,218
301,46462,2023-08-17,129,224
302,20327,2023-08-17,129,220
303,17582,2023-08-17,129,333
304,56284,2023-08-17,129,229
305,47302,2023-08-17,129,216
306,155,2023-08-17,129,294
307,21707,2023-08-17,129,228
308,7255,2023-08-17,129,312
309,14850,2023-08-17,129,226
310,7485,2023-08-17,129,223
311,19975,2023-08-17,129,313
312,34452,2023-08-17,129,213
313,24167,2023-08-17,129,215
314,38103,2023-08-17,129,296
315,42009,2023-08-17,129,336
316,11034,2023-08-17,129,233
317,23389,2023-08-17,129,221
318,16499,2023-08-17,129,227
319,10000,2023-08-17,129,222
320,38517,2023-08-17,129,337
321,45618,2023-08-17,129,217
322,17874,2023-08-17,129,347
323,7000,2023-08-17,129,346
324,31921,2023-08-17,129,232
325,17055,2023-08-17,129,211
326,20109,2023-08-17,129,225
327,41331,2023-08-17,129,230
328,3841,2023-08-17,129,212
329,3000,2023-08-17,137,339
330,36884,2023-08-17,137,218
331,16976,2023-08-17,137,304
332,25623,2023-08-17,137,333
333,38332,2023-08-17,137,216
334,14701,2023-08-17,137,294
335,65335,2023-08-17,137,228
336,23553,2023-08-17,137,215
337,11990,2023-08-17,137,214
338,17692,2023-08-17,137,227
339,8954,2023-08-17,137,264
340,8814,2023-08-17,137,222
341,720,2023-08-17,137,338
342,2500,2023-08-17,137,225
343,19935,2023-08-17,137,230
344,21199,2023-08-17,137,219
345,1629,2023-08-17,112,339
346,5404,2023-08-17,112,218
347,39620,2023-08-17,112,224
348,32131,2023-08-17,112,220
349,28530,2023-08-17,112,333
350,38157,2023-08-17,112,229
351,72362,2023-08-17,112,216
352,2803,2023-08-17,112,228
353,12107,2023-08-17,112,312
354,8500,2023-08-17,112,226
355,12075,2023-08-17,112,223
356,23036,2023-08-17,112,213
357,26853,2023-08-17,112,215
358,45289,2023-08-17,112,296
359,66925,2023-08-17,112,221
360,14509,2023-08-17,112,227
361,16993,2023-08-17,112,222
362,71729,2023-08-17,112,338
363,44648,2023-08-17,112,337
364,26618,2023-08-17,112,217
365,16918,2023-08-17,112,347
366,7000,2023-08-17,112,346
367,18182,2023-08-17,112,225
368,14213,2023-08-17,112,230
369,6518,2023-08-17,112,212
370,11956,2023-08-17,111,339
371,8680,2023-08-17,111,340
372,25863,2023-08-17,111,218
373,17266,2023-08-17,111,304
374,78576,2023-08-17,111,224
375,28749,2023-08-17,111,220
376,30135,2023-08-17,111,333
377,97180,2023-08-17,111,229
378,47923,2023-08-17,111,216
379,3250,2023-08-17,111,294
380,38427,2023-08-17,111,228
381,26326,2023-08-17,111,312
382,9378,2023-08-17,111,226
383,10706,2023-08-17,111,223
384,42634,2023-08-17,111,313
385,64302,2023-08-17,111,213
386,62979,2023-08-17,111,215
387,67231,2023-08-17,111,296
388,69078,2023-08-17,111,336
389,20243,2023-08-17,111,233
390,65791,2023-08-17,111,221
391,71155,2023-08-17,111,214
392,29688,2023-08-17,111,227
393,42007,2023-08-17,111,264
394,19415,2023-08-17,111,222
395,7617,2023-08-17,111,338
396,45616,2023-08-17,111,337
397,53417,2023-08-17,111,217
398,21941,2023-08-17,111,347
399,19,2023-08-17,111,346
400,61241,2023-08-17,111,232
401,30579,2023-08-17,111,211
402,62640,2023-08-17,111,225
403,63369,2023-08-17,111,230
404,41883,2023-08-17,111,219
405,11000,2023-08-17,15,339
406,17703,2023-08-17,15,340
407,34567,2023-08-17,15,218
408,30798,2023-08-17,15,304
409,90907,2023-08-17,15,224
410,64664,2023-08-17,15,220
411,93229,2023-08-17,15,229
412,77334,2023-08-17,15,216
413,18000,2023-08-17,15,294
414,67035,2023-08-17,15,228
415,10451,2023-08-17,15,312
416,52992,2023-08-17,15,226
417,40019,2023-08-17,15,223
418,28547,2023-08-17,15,313
419,119700,2023-08-17,15,213
420,104451,2023-08-17,15,296
421,25287,2023-08-17,15,214
422,48950,2023-08-17,15,227
423,86322,2023-08-17,15,264
424,33801,2023-08-17,15,222
425,22244,2023-08-17,15,338
426,91310,2023-08-17,15,337
427,69787,2023-08-17,15,217
428,20000,2023-08-17,15,346
429,27859,2023-08-17,15,225
430,41490,2023-08-17,15,230
431,50438,2023-08-17,15,219
432,1200,2023-08-17,197,339
433,21844,2023-08-17,197,218
434,4600,2023-08-17,197,224
435,28973,2023-08-17,197,333
436,4514,2023-08-17,197,229
437,5000,2023-08-17,197,216
438,31680,2023-08-17,197,294
439,13198,2023-08-17,197,228
